Rk,Name,YoB,Votes,Pvote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,Gp,GS,SV,IP,Hp,HRp,BBp,SO,PosSummary,Year
745,y X-Raul Mondesi,1st,0,0,21,20,13,29.5,25.6,27.5,56.8,1525,5814,909,1589,271,860,229,475,0.273,0.331,0.485,0.815,113,,,,,,,,,,,,,,*987/D,2011
746,y X-Carlos Baerga,1st,0,0,45,19,14,19.6,22,20.8,56.9,1630,5439,731,1583,134,774,59,291,0.291,0.332,0.423,0.754,100,,,,,,,,,,,,,,*453D6,2011
747,y X-Charles Johnson,1st,0,0,25,28,12,22.6,20.4,21.5,44.7,1188,3836,465,940,167,570,6,475,0.245,0.33,0.433,0.762,97,,,,,,,,,,,,,,*2/D,2011
748,y X-Bobby Higginson,1st,0,0,19,19,11,23.1,21.5,22.3,53.6,1362,4910,736,1336,187,709,91,649,0.272,0.358,0.455,0.813,113,,,,,,,,,,,,,,*7*9D/8,2011
749,y Barry Larkin,3rd,495,0.864,121,47,19,70.4,43.3,56.9,55,2180,7937,1329,2340,198,960,379,939,0.295,0.371,0.444,0.815,116,,,,,,,,,,,,,,*6/4D,2012
750,y Jack Morris HOF,13th,382,0.667,123,39,18,43.4,32.5,38,61.5,23,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,2012
751,y Jeff Bagwell HOF,2nd,321,0.56,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9,2012
752,y Lee Smith HOF,10th,290,0.506,127,13,18,28.9,20.8,24.8,32.5,770,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,2012
753,y Tim Raines HOF,5th,279,0.487,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9,2012
754,y Alan Trammell HOF,11th,211,0.368,119,40,20,70.7,44.8,57.8,55,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478,2012
755,y Edgar Martinez HOF,3rd,209,0.365,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3,2012
756,y Fred McGriff,3rd,137,0.239,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D,2012
757,y Larry Walker,2nd,131,0.229,148,58,17,72.7,44.7,58.7,56.8,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45,2012
758,y Mark McGwire,6th,112,0.195,170,42,16,62.2,41.9,52,54.8,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59,2012
759,y Don Mattingly,12th,102,0.178,134,34,14,42.4,35.7,39.1,54.8,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,,,,,,,,,,,,,,*3D97/548,2012
760,y Dale Murphy,14th,83,0.145,116,34,18,46.5,41.2,43.9,57.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,,,,,,,,,,,,,,*8*9372,2012
761,y Rafael Palmeiro,2nd,72,0.126,178,57,20,71.9,38.9,55.4,54.8,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,,,,,,,,,,,,,,*3*D7/98,2012
762,y Bernie Williams,1st,55,0.096,134,48,16,49.6,37.6,43.6,57.8,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125,,,,,,,,,,,,,,*8D9/7,2012
763,y X-Juan Gonzalez,2nd,23,0.04,123,40,17,38.7,29.2,33.9,56.8,1689,6556,1061,1936,434,1404,26,457,0.295,0.343,0.561,0.904,132,,,,,,,,,,,,,,*9*D*78,2012
764,y X-Vinny Castilla,1st,6,0.01,69,25,16,19.4,20.8,20.1,55.7,1854,6822,902,1884,320,1105,33,423,0.276,0.321,0.476,0.797,95,,,,,,,,,,,,,,*56/43,2012
765,y X-Tim Salmon,1st,5,0.009,34,32,14,40.6,31.6,36.1,56.8,1672,5934,986,1674,299,1016,48,970,0.282,0.385,0.498,0.884,128,,,,,,,,,,,,,,*9*D/78,2012
766,y X-Bill Mueller,1st,4,0.007,16,23,11,23.9,19.7,21.8,55.7,1216,4223,663,1229,85,493,20,543,0.291,0.373,0.425,0.797,109,,,,,,,,,,,,,,*54/D6,2012
767,y X-Brad Radke,1st,2,0.003,13,15,12,45.4,36.2,40.8,61.5,14,29,0,3,0,0,0,0,0.103,0.103,0.103,0.207,-46,148,139,4.22,113,1.26,378,377,0,2451,2643,326,445,1467,*1,2012
768,y X-Eric Young Sr.,1st,1,0.002,19,25,15,18.8,16.8,17.8,56.9,1730,6119,996,1731,79,543,465,660,0.283,0.359,0.39,0.749,92,,,,,,,,,,,,,,*47/D8695,2012
769,y X-Javy Lopez,1st,1,0.002,67,35,15,29.7,24.9,27.3,44.7,1503,5319,674,1527,260,864,8,357,0.287,0.337,0.491,0.828,112,,,,,,,,,,,,,,*2D/3,2012
770,y X-Tony Womack,1st,0,0,27,17,13,2.4,7.2,4.8,56.9,1303,4963,739,1353,36,368,363,308,0.273,0.317,0.356,0.673,72,,,,,,,,,,,,,,*4*6987/D,2012
771,y X-Terry Mulholland,1st,0,0,14,9,20,11.2,14.4,12.8,32.5,504,619,26,69,2,23,1,13,0.111,0.131,0.145,0.276,-25,124,142,4.41,93,1.364,685,332,5,2575.2,2833,293,681,1325,*1,2012
772,y X-Ruben Sierra,1st,0,0,58,28,20,16.8,20.5,18.7,56.8,2186,8044,1084,2152,306,1322,142,610,0.268,0.315,0.45,0.765,105,,,,,,,,,,,,,,*9*D78,2012
773,y X-Phil Nevin,1st,0,0,23,19,12,15.9,19.1,17.5,55.7,1217,4188,584,1131,208,743,18,449,0.27,0.343,0.472,0.814,114,,,,,,,,,,,,,,*5*3D279,2012
774,y X-Jeromy Burnitz,1st,0,0,34,23,14,19.8,18.6,19.2,56.8,1694,5710,917,1447,315,981,74,739,0.253,0.345,0.481,0.826,112,,,,,,,,,,,,,,*987/D,2012
775,y X-Brian Jordan,1st,0,0,24,17,15,32.9,30.4,31.7,56.8,1456,5160,755,1454,184,821,119,353,0.282,0.333,0.455,0.788,105,,,,,,,,,,,,,,*978/3D5,2012
